Data,Temp Med,Temp Max,Temp Min,Chuva,UR
04/06/2020,18.7,20.3,17.8,4.4,74.17
05/06/2020,21.7,27.2,17.9,9.6,75.67
06/06/2020,16.5,20.4,15.1,1.6,71.29
07/06/2020,19.1,24.2,14.5,0,69.04
08/06/2020,22.8,29.1,18.1,0,72.33
09/06/2020,24.1,29.1,20.5,8,72.92
10/06/2020,24.3,30.6,20.3,0,69.21
11/06/2020,24.3,31,19.3,0,64.71
12/06/2020,24,30.8,18.5,0,61.58
13/06/2020,23.4,31.1,16.6,0,60.13
14/06/2020,22.3,28,18,0,61.38
15/06/2020,21,27.1,16,0,59.33
16/06/2020,21.9,27.5,16.6,0,59.67
17/06/2020,22.3,27.4,17.7,0,59.96
18/06/2020,21.7,27.2,17.3,0,59.83
19/06/2020,23.1,28.9,18.2,0,58.71
20/06/2020,23.1,29.6,18.1,0,56.04
21/06/2020,23.1,30.2,18.1,0,55.38
22/06/2020,22.8,29.2,16.2,0,53.58
23/06/2020,21.2,26.7,17,0,51.63
24/06/2020,21.7,29.3,16.6,0,52.67
25/06/2020,23.5,30.9,17.7,0.2,57
26/06/2020,20,22.6,18.9,17.2,68.79
27/06/2020,17.4,19.3,15.3,78.2,75.67
28/06/2020,18.4,21.1,16.1,0.2,73.33
29/06/2020,16.3,21.8,13.9,0,67.79
30/06/2020,15.1,19.6,9.8,0.6,67.33
01/07/2020,15.1,19.6,9.8,0.6,59.74
